num;code;url;status_code;launch_date;launch_vehicle;launch_site;
95;2019074AL;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AL;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
96;2019074AM;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AM;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
97;2019074AN;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AN;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
98;2019074AP;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AP;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
99;2019074AQ;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AQ;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
100;2019074AR;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AR;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
101;2019074AS;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AS;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
102;2019074AT;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AT;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
103;2019074AU;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AU;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
104;2019074AV;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AV;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
105;2019074AW;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AW;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
106;2019074AX;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AX;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
107;2019074AY;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AY;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
108;2019074AZ;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AZ;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
109;2019074BA;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074BA;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
110;2019074BB;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074BB;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
111;2019074BC;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074BC;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
112;2019074BD;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074BD;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
113;2019074BE;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074BE;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
114;2019074BF;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074BF;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
115;2019074BG;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074BG;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
116;2019074BH;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074BH;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
117;2019074BJ;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074BJ;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
